Date,Largest 4 Longs; Gross,Largest 4 Shorts; Gross,Largest 8 Longs; Gross,Largest 8 Shorts; Gross,Largest 4 Longs; Net,Largest 4 Shorts; Net,Largest 8 Longs; Net,Largest 8 Shorts; Net
2017-12-26,55.0,40.7,66.2,51.8,54.5,40.3,65.3,51.4
2017-12-19,55.8,39.6,67.1,49.9,55.5,39.6,66.3,49.9
2017-12-12,45.8,34.7,61.7,44.9,42.7,34.7,57.0,42.8
2017-12-05,48.2,36.1,63.5,46.8,45.3,36.1,60.5,46.2
2017-11-28,47.7,37.0,64.1,47.7,44.8,37.0,61.2,46.7
2017-11-21,48.3,37.5,66.0,48.8,44.9,37.5,62.6,47.4
2017-11-14,45.9,38.8,67.5,49.2,42.9,38.5,64.4,48.6
2017-11-07,45.4,39.2,67.5,49.6,41.8,38.5,63.8,47.8
2017-10-31,44.1,38.4,64.6,49.2,40.9,37.9,61.3,48.2
2017-10-24,44.3,38.1,63.7,48.0,41.7,37.7,60.2,47.0
2017-10-17,43.1,42.3,59.9,53.7,40.4,41.9,56.3,52.6
2017-10-10,43.2,42.2,58.6,53.7,40.4,41.9,55.3,52.6
2017-10-03,43.9,40.4,58.5,50.2,42.5,40.1,55.9,49.9
2017-09-26,45.4,40.8,57.1,50.6,44.5,40.5,56.2,50.2
2017-09-19,46.7,45.2,57.1,55.1,46.6,45.0,56.7,54.7
2017-09-12,40.7,42.4,52.0,54.0,40.3,41.7,50.9,52.4
2017-09-05,42.0,43.6,52.7,57.9,41.6,43.1,52.0,57.4
2017-08-29,43.9,46.4,54.5,59.0,43.8,46.2,54.3,58.6
2017-08-22,45.1,46.3,55.4,57.9,44.9,46.1,55.1,57.6
2017-08-15,46.8,46.4,57.0,57.3,46.5,46.4,56.7,57.2
2017-08-08,50.7,46.9,61.7,58.1,50.4,46.9,61.4,57.8
2017-08-01,50.7,43.5,61.4,55.2,50.2,43.5,60.9,54.7
2017-07-25,53.1,46.6,64.1,56.8,52.7,46.5,63.7,56.7
2017-07-18,49.0,44.9,62.6,56.4,48.5,44.8,62.1,56.2
2017-07-11,46.5,40.9,60.2,51.8,46.2,40.5,59.9,51.4
2017-07-03,44.9,38.0,58.1,47.6,44.8,37.7,57.8,47.3
2017-06-27,42.9,39.8,55.7,49.4,42.8,39.7,55.6,48.7
2017-06-20,44.4,42.1,55.1,51.1,44.3,42.0,54.9,50.5
2017-06-13,51.5,37.2,60.5,51.2,51.5,36.4,60.4,49.7
2017-06-06,47.6,35.6,57.3,49.0,47.0,35.4,55.3,46.6
2017-05-30,51.3,37.1,60.6,49.0,49.3,37.0,58.6,48.3
2017-05-23,50.2,35.0,59.4,47.2,47.9,34.9,57.1,46.6
2017-05-16,51.1,30.4,62.7,45.3,48.6,30.4,60.3,44.9
2017-05-09,48.1,30.2,59.2,45.2,47.3,30.1,58.4,44.8
2017-05-02,48.3,35.6,57.0,49.3,47.6,35.5,56.3,48.7
2017-04-25,47.0,41.6,57.0,54.2,46.4,41.6,56.4,53.7
2017-04-18,47.0,38.2,57.1,52.2,46.3,38.1,56.4,51.4
2017-04-11,48.0,35.6,56.1,50.2,47.3,35.5,55.5,49.5
