Date,Time,Open,High,Low,Close,Volume
2016.01.04,0:00,120.196,120.381,120.195,120.313,4740
2016.01.04,4:00,120.312,120.462,119.643,119.682,28113
2016.01.04,8:00,119.678,119.728,118.902,118.97,26452
2016.01.04,12:00,118.97,119.159,118.699,118.79,32555
2016.01.04,16:00,118.791,119.358,118.759,119.29,36336
2016.01.04,20:00,119.294,119.497,119.182,119.292,25582
2016.01.05,0:00,119.296,119.472,119.278,119.466,14506
2016.01.05,4:00,119.465,119.698,119.092,119.52,25215
2016.01.05,8:00,119.521,119.577,119.299,119.419,22737
2016.01.05,12:00,119.42,119.437,118.825,118.948,31342
2016.01.05,16:00,118.948,119.273,118.79,119.146,35598
2016.01.05,20:00,119.146,119.146,118.834,118.979,24132
2016.01.06,0:00,118.977,119.166,118.938,119.107,13006
2016.01.06,4:00,119.104,119.156,118.35,118.65,35468
2016.01.06,8:00,118.649,118.813,118.557,118.732,23231
2016.01.06,12:00,118.733,118.746,118.247,118.396,34419
2016.01.06,16:00,118.396,118.765,118.297,118.649,39412
2016.01.06,20:00,118.646,118.703,118.347,118.351,28228
2016.01.07,0:00,118.35,118.645,118.348,118.619,13136
2016.01.07,4:00,118.62,118.753,117.661,118.206,39020
2016.01.07,8:00,118.206,118.228,117.836,118.018,26321
2016.01.07,12:00,118.019,118.143,117.325,117.503,42566
2016.01.07,16:00,117.503,118.271,117.428,118.076,41448
2016.01.07,20:00,118.077,118.129,117.445,117.462,32980
2016.01.08,0:00,117.457,117.677,117.443,117.527,17381
2016.01.08,4:00,117.527,118.595,117.487,118.249,39727
2016.01.08,8:00,118.249,118.56,118.178,118.235,23453
2016.01.08,12:00,118.238,118.438,118.164,118.253,29975
2016.01.08,16:00,118.254,118.838,117.68,117.68,50082
2016.01.08,20:00,117.68,117.945,117.445,117.644,34571
2016.01.09,0:00,117.644,117.689,117.223,117.229,10819
2016.01.11,0:00,117.097,117.171,116.691,117.055,11772
2016.01.11,4:00,117.056,117.431,116.968,117.366,22327
2016.01.11,8:00,117.373,117.442,117.092,117.313,23934
2016.01.11,12:00,117.315,117.917,117.315,117.658,33339
2016.01.11,16:00,117.658,118.022,117.31,117.383,39904
2016.01.11,20:00,117.381,117.556,117.189,117.49,35170
2016.01.12,0:00,117.487,117.818,117.409,117.68,15781
2016.01.12,4:00,117.68,118.027,117.416,117.507,32463
2016.01.12,8:00,117.507,117.571,117.223,117.396,25827
2016.01.12,12:00,117.396,117.847,117.248,117.712,36476
2016.01.12,16:00,117.719,118.068,117.635,117.952,40609
2016.01.12,20:00,117.952,117.962,117.379,117.609,38080
2016.01.13,0:00,117.601,117.868,117.542,117.831,17122
2016.01.13,4:00,117.828,118.353,117.769,118.235,27955
2016.01.13,8:00,118.234,118.338,118.017,118.218,21031
2016.01.13,12:00,118.217,118.376,118.132,118.144,29980
2016.01.13,16:00,118.144,118.351,118.028,118.334,36625
2016.01.13,20:00,118.331,118.331,117.688,117.762,35318
2016.01.14,0:00,117.765,117.893,117.369,117.413,21402
2016.01.14,4:00,117.412,117.623,117.297,117.485,30480
2016.01.14,8:00,117.485,118.175,117.288,118.095,25982
2016.01.14,12:00,118.095,118.095,117.521,117.635,39354
2016.01.14,16:00,117.636,118.172,117.43,118.059,43900
2016.01.14,20:00,118.058,118.275,117.927,118.15,35827
2016.01.15,0:00,118.148,118.267,117.998,118.221,14357
2016.01.15,4:00,118.221,118.259,117.827,117.859,26929
2016.01.15,8:00,117.858,117.928,117.559,117.628,28348
2016.01.15,12:00,117.633,117.763,117.227,117.377,39538
2016.01.15,16:00,117.377,117.415,116.595,116.887,49111
2016.01.15,20:00,116.885,117.038,116.505,117.017,37697
2016.01.16,0:00,117.014,117.068,116.874,116.997,9692
2016.01.18,0:00,116.65,117.05,116.65,116.999,6741
2016.01.18,4:00,117.005,117.361,116.921,117.279,35826
2016.01.18,8:00,117.28,117.306,117.006,117.029,25233
